r	U
4,71	-0,043052096
4,72	-0,042437341
4,73	-0,041832466
4,74	-0,041237295
4,75	-0,040651656
4,76	-0,040075382
4,77	-0,039508306
4,78	-0,038950267
4,79	-0,038401106
4,8	-0,037860667
4,81	-0,037328796
4,82	-0,036805345
4,83	-0,036290165
4,84	-0,035783113
4,85	-0,035284046
4,86	-0,034792826
4,87	-0,034309316
4,88	-0,033833383
4,89	-0,033364894
4,9	-0,032903722
4,91	-0,03244974
4,92	-0,032002824
4,93	-0,031562852
4,94	-0,031129705
4,95	-0,030703266
4,96	-0,030283419
4,97	-0,029870052
4,98	-0,029463054
4,99	-0,029062317
5	-0,028667734
5,01	-0,028279199
5,02	-0,027896611
5,03	-0,027519868
5,04	-0,027148872
5,05	-0,026783526
5,06	-0,026423733
5,07	-0,026069401
5,08	-0,025720437
5,09	-0,025376752
5,1	-0,025038256
5,11	-0,024704863
5,12	-0,024376488
5,13	-0,024053046
5,14	-0,023734456
5,15	-0,023420636
5,16	-0,023111508
5,17	-0,022806994
5,18	-0,022507017
5,19	-0,022211502
5,2	-0,021920375
5,21	-0,021633564
5,22	-0,021350998
5,23	-0,021072608
5,24	-0,020798324
5,25	-0,020528079
5,26	-0,020261808
5,27	-0,019999445
5,28	-0,019740926
5,29	-0,01948619
5,3	-0,019235174
5,31	-0,018987818
5,32	-0,018744063
5,33	-0,018503851
5,34	-0,018267123
5,35	-0,018033825
5,36	-0,0178039
5,37	-0,017577295
5,38	-0,017353956
5,39	-0,017133831
5,4	-0,016916869
5,41	-0,016703018
5,42	-0,016492229
5,43	-0,016284454
5,44	-0,016079644
5,45	-0,015877752
5,46	-0,015678733
5,47	-0,01548254
5,48	-0,015289129
5,49	-0,015098456
5,5	-0,014910478
5,51	-0,014725152
5,52	-0,014542437
5,53	-0,014362291
5,54	-0,014184676
5,55	-0,01400955
5,56	-0,013836875
5,57	-0,013666613
5,58	-0,013498726
5,59	-0,013333178
5,6	-0,013169932
5,61	-0,013008952
5,62	-0,012850204
5,63	-0,012693652
5,64	-0,012539264
5,65	-0,012387005
5,66	-0,012236843
5,67	-0,012088746
5,68	-0,011942682
5,69	-0,01179862
5,7	-0,01165653
5,71	-0,011516381
5,72	-0,011378143
5,73	-0,011241788
5,74	-0,011107288
5,75	-0,010974613
5,76	-0,010843736
5,77	-0,010714631
5,78	-0,01058727
5,79	-0,010461627
5,8	-0,010337676
5,81	-0,010215393
5,82	-0,010094751
5,83	-0,009975726
5,84	-0,009858294
5,85	-0,009742432
5,86	-0,009628115
5,87	-0,009515321
5,88	-0,009404027
5,89	-0,009294211
5,9	-0,009185852
5,91	-0,009078926
5,92	-0,008973414
5,93	-0,008869294
5,94	-0,008766547
5,95	-0,008665151
5,96	-0,008565086
5,97	-0,008466334
5,98	-0,008368876
5,99	-0,008272691
6	-0,008177762
6,01	-0,00808407
6,02	-0,007991598
6,03	-0,007900327
6,04	-0,00781024
6,05	-0,00772132
6,06	-0,007633551
6,07	-0,007546914
6,08	-0,007461395
6,09	-0,007376977
6,1	-0,007293644
6,11	-0,007211381
6,12	-0,007130172
6,13	-0,007050002
6,14	-0,006970856
6,15	-0,00689272
6,16	-0,00681558
6,17	-0,00673942
6,18	-0,006664228
6,19	-0,006589989
6,2	-0,00651669
6,21	-0,006444317
6,22	-0,006372859
6,23	-0,006302301
6,24	-0,00623263
6,25	-0,006163836
6,26	-0,006095904
6,27	-0,006028824
6,28	-0,005962583
6,29	-0,005897169
6,3	-0,005832571
6,31	-0,005768777
6,32	-0,005705777
6,33	-0,005643559
6,34	-0,005582112
6,35	-0,005521426
6,36	-0,005461491
6,37	-0,005402295
6,38	-0,005343828
6,39	-0,005286081
6,4	-0,005229044
6,41	-0,005172707
6,42	-0,00511706
6,43	-0,005062093
6,44	-0,005007799
6,45	-0,004954166
6,46	-0,004901187
6,47	-0,004848852
6,48	-0,004797153
6,49	-0,004746081
6,5	-0,004695627
6,51	-0,004645783
6,52	-0,004596541
6,53	-0,004547893
6,54	-0,004499831
6,55	-0,004452346
6,56	-0,004405431
6,57	-0,004359079
6,58	-0,004313281
6,59	-0,004268031
6,6	-0,004223321
6,61	-0,004179144
6,62	-0,004135493
6,63	-0,00409236
6,64	-0,00404974
6,65	-0,004007624
6,66	-0,003966007
6,67	-0,003924881
6,68	-0,003884241
6,69	-0,003844079
6,7	-0,00380439
6,71	-0,003765168
6,72	-0,003726405
6,73	-0,003688097
6,74	-0,003650237
6,75	-0,003612819
6,76	-0,003575837
6,77	-0,003539287
6,78	-0,003503162
6,79	-0,003467456
6,8	-0,003432164
6,81	-0,003397282
6,82	-0,003362803
6,83	-0,003328722
6,84	-0,003295034
6,85	-0,003261734
6,86	-0,003228818
6,87	-0,003196279
6,88	-0,003164114
6,89	-0,003132318
6,9	-0,003100885
6,91	-0,003069811
6,92	-0,003039091
6,93	-0,003008722
6,94	-0,002978698
6,95	-0,002949015
6,96	-0,002919669
6,97	-0,002890655
6,98	-0,00286197
6,99	-0,002833608
7	-0,002805567
7,01	-0,002777842
7,02	-0,002750428
7,03	-0,002723323
7,04	-0,002696521
7,05	-0,002670021
7,06	-0,002643816
7,07	-0,002617905
7,08	-0,002592282
7,09	-0,002566945
7,1	-0,002541891
7,11	-0,002517114
7,12	-0,002492613
7,13	-0,002468383
7,14	-0,002444422
7,15	-0,002420725
7,16	-0,00239729
7,17	-0,002374113
7,18	-0,002351192
7,19	-0,002328522
7,2	-0,002306102
7,21	-0,002283927
7,22	-0,002261996
7,23	-0,002240304
7,24	-0,002218849
7,25	-0,002197628
7,26	-0,002176638
7,27	-0,002155876
7,28	-0,00213534
7,29	-0,002115027
7,3	-0,002094934
7,31	-0,002075059
7,32	-0,002055398
7,33	-0,002035949
7,34	-0,00201671
7,35	-0,001997678
7,36	-0,001978851
7,37	-0,001960226
7,38	-0,0019418
7,39	-0,001923572
7,4	-0,001905539
7,41	-0,001887698
7,42	-0,001870048
7,43	-0,001852585
7,44	-0,001835309
7,45	-0,001818216
7,46	-0,001801304
7,47	-0,001784572
7,48	-0,001768016
7,49	-0,001751636
7,5	-0,001735428
7,51	-0,001719392
7,52	-0,001703524
7,53	-0,001687823
7,54	-0,001672287
7,55	-0,001656914
7,56	-0,001641701
7,57	-0,001626648
7,58	-0,001611753
7,59	-0,001597012
7,6	-0,001582426
7,61	-0,001567991
7,62	-0,001553706
7,63	-0,001539569
7,64	-0,001525579
7,65	-0,001511734
7,66	-0,001498032
7,67	-0,001484472
7,68	-0,001471051
7,69	-0,001457769
7,7	-0,001444623
7,71	-0,001431613
7,72	-0,001418736
7,73	-0,001405991
7,74	-0,001393376
7,75	-0,001380891
7,76	-0,001368533
7,77	-0,001356301
7,78	-0,001344193
7,79	-0,001332209
7,8	-0,001320347
7,81	-0,001308604
7,82	-0,001296981
7,83	-0,001285476
7,84	-0,001274087
7,85	-0,001262813
7,86	-0,001251652
7,87	-0,001240604
7,88	-0,001229668
7,89	-0,001218841
7,9	-0,001208122
7,91	-0,001197511
7,92	-0,001187007
7,93	-0,001176607
7,94	-0,001166311
7,95	-0,001156118
7,96	-0,001146027
7,97	-0,001136036
7,98	-0,001126144
7,99	-0,00111635
8	-0,001106654
8,01	-0,001097053
8,02	-0,001087548
8,03	-0,001078136
8,04	-0,001068817
8,05	-0,00105959
8,06	-0,001050454
8,07	-0,001041407
8,08	-0,00103245
8,09	-0,00102358
8,1	-0,001014797
8,11	-0,0010061
8,12	-0,000997488
8,13	-0,00098896
8,14	-0,000980515
8,15	-0,000972152
8,16	-0,000963871
8,17	-0,00095567
8,18	-0,000947548
8,19	-0,000939506
8,2	-0,000931541
8,21	-0,000923653
