r	U
14,04	-2,17026E-05
14,05	-2,15947E-05
14,06	-2,14875E-05
14,07	-2,13808E-05
14,08	-2,12748E-05
14,09	-2,11694E-05
14,1	-2,10645E-05
14,11	-2,09603E-05
14,12	-2,08567E-05
14,13	-2,07536E-05
14,14	-2,06511E-05
14,15	-2,05492E-05
14,16	-2,04479E-05
14,17	-2,03471E-05
14,18	-2,02469E-05
14,19	-2,01473E-05
14,2	-2,00482E-05
14,21	-1,99497E-05
14,22	-1,98517E-05
14,23	-1,97543E-05
14,24	-1,96574E-05
14,25	-1,95611E-05
14,26	-1,94653E-05
14,27	-1,93701E-05
14,28	-1,92754E-05
14,29	-1,91812E-05
14,3	-1,90875E-05
14,31	-1,89944E-05
14,32	-1,89017E-05
14,33	-1,88096E-05
14,34	-1,8718E-05
14,35	-1,86269E-05
14,36	-1,85364E-05
14,37	-1,84463E-05
14,38	-1,83567E-05
14,39	-1,82676E-05
14,4	-1,81791E-05
14,41	-1,8091E-05
14,42	-1,80033E-05
14,43	-1,79162E-05
14,44	-1,78296E-05
14,45	-1,77434E-05
14,46	-1,76577E-05
14,47	-1,75725E-05
14,48	-1,74878E-05
14,49	-1,74035E-05
14,5	-1,73197E-05
14,51	-1,72363E-05
14,52	-1,71534E-05
14,53	-1,7071E-05
14,54	-1,6989E-05
14,55	-1,69075E-05
14,56	-1,68264E-05
14,57	-1,67457E-05
14,58	-1,66655E-05
14,59	-1,65857E-05
14,6	-1,65064E-05
14,61	-1,64275E-05
14,62	-1,6349E-05
14,63	-1,6271E-05
14,64	-1,61934E-05
14,65	-1,61162E-05
14,66	-1,60394E-05
14,67	-1,59631E-05
14,68	-1,58871E-05
14,69	-1,58116E-05
14,7	-1,57365E-05
14,71	-1,56618E-05
14,72	-1,55875E-05
14,73	-1,55136E-05
14,74	-1,54401E-05
14,75	-1,5367E-05
14,76	-1,52943E-05
14,77	-1,52219E-05
14,78	-1,515E-05
14,79	-1,50785E-05
14,8	-1,50073E-05
14,81	-1,49366E-05
14,82	-1,48662E-05
14,83	-1,47962E-05
14,84	-1,47265E-05
14,85	-1,46573E-05
14,86	-1,45884E-05
14,87	-1,45199E-05
14,88	-1,44517E-05
14,89	-1,4384E-05
14,9	-1,43165E-05
14,91	-1,42495E-05
14,92	-1,41828E-05
14,93	-1,41164E-05
14,94	-1,40504E-05
14,95	-1,39848E-05
14,96	-1,39195E-05
14,97	-1,38546E-05
14,98	-1,379E-05
14,99	-1,37257E-05
15	-1,36618E-05
15,01	-1,35983E-05
15,02	-1,3535E-05
15,03	-1,34721E-05
15,04	-1,34096E-05
15,05	-1,33474E-05
15,06	-1,32855E-05
15,07	-1,32239E-05
15,08	-1,31626E-05
15,09	-1,31017E-05
15,1	-1,30411E-05
15,11	-1,29808E-05
15,12	-1,29209E-05
15,13	-1,28612E-05
15,14	-1,28019E-05
15,15	-1,27429E-05
15,16	-1,26842E-05
15,17	-1,26258E-05
15,18	-1,25677E-05
15,19	-1,25099E-05
15,2	-1,24524E-05
15,21	-1,23952E-05
15,22	-1,23384E-05
15,23	-1,22818E-05
15,24	-1,22255E-05
15,25	-1,21695E-05
15,26	-1,21138E-05
15,27	-1,20584E-05
15,28	-1,20033E-05
15,29	-1,19484E-05
15,3	-1,18939E-05
15,31	-1,18396E-05
15,32	-1,17857E-05
15,33	-1,1732E-05
15,34	-1,16786E-05
15,35	-1,16254E-05
15,36	-1,15726E-05
15,37	-1,152E-05
15,38	-1,14676E-05
15,39	-1,14156E-05
15,4	-1,13638E-05
15,41	-1,13123E-05
15,42	-1,12611E-05
15,43	-1,12101E-05
15,44	-1,11594E-05
15,45	-1,11089E-05
15,46	-1,10588E-05
15,47	-1,10088E-05
15,48	-1,09592E-05
15,49	-1,09097E-05
15,5	-1,08606E-05
15,51	-1,08117E-05
15,52	-1,0763E-05
15,53	-1,07146E-05
15,54	-1,06664E-05
15,55	-1,06185E-05
15,56	-1,05709E-05
15,57	-1,05234E-05
15,58	-1,04763E-05
15,59	-1,04293E-05
15,6	-1,03826E-05
15,61	-1,03362E-05
15,62	-1,029E-05
15,63	-1,0244E-05
15,64	-1,01982E-05
15,65	-1,01527E-05
15,66	-1,01074E-05
15,67	-1,00624E-05
15,68	-1,00175E-05
15,69	-9,97294E-06
15,7	-9,92857E-06
15,71	-9,88443E-06
15,72	-9,84051E-06
15,73	-9,79681E-06
15,74	-9,75333E-06
15,75	-9,71008E-06
15,76	-9,66704E-06
15,77	-9,62422E-06
15,78	-9,58162E-06
15,79	-9,53924E-06
15,8	-9,49706E-06
15,81	-9,4551E-06
15,82	-9,41336E-06
15,83	-9,37182E-06
15,84	-9,33049E-06
15,85	-9,28937E-06
15,86	-9,24846E-06
15,87	-9,20775E-06
15,88	-9,16725E-06
15,89	-9,12695E-06
15,9	-9,08685E-06
15,91	-9,04696E-06
15,92	-9,00726E-06
15,93	-8,96777E-06
15,94	-8,92847E-06
15,95	-8,88937E-06
15,96	-8,85046E-06
15,97	-8,81175E-06
15,98	-8,77323E-06
15,99	-8,7349E-06
16	-8,69677E-06
16,01	-8,65882E-06
16,02	-8,62107E-06
16,03	-8,5835E-06
16,04	-8,54612E-06
16,05	-8,50892E-06
16,06	-8,47191E-06
16,07	-8,43509E-06
16,08	-8,39844E-06
16,09	-8,36198E-06
16,1	-8,3257E-06
16,11	-8,2896E-06
16,12	-8,25368E-06
16,13	-8,21793E-06
16,14	-8,18237E-06
16,15	-8,14697E-06
16,16	-8,11176E-06
16,17	-8,07671E-06
16,18	-8,04184E-06
16,19	-8,00714E-06
16,2	-7,97262E-06
16,21	-7,93826E-06
16,22	-7,90407E-06
16,23	-7,87005E-06
16,24	-7,8362E-06
16,25	-7,80251E-06
16,26	-7,76899E-06
16,27	-7,73563E-06
16,28	-7,70244E-06
16,29	-7,66941E-06
16,3	-7,63654E-06
16,31	-7,60383E-06
16,32	-7,57129E-06
16,33	-7,5389E-06
16,34	-7,50667E-06
16,35	-7,47459E-06
16,36	-7,44268E-06
16,37	-7,41092E-06
16,38	-7,37931E-06
16,39	-7,34786E-06
16,4	-7,31656E-06
16,41	-7,28541E-06
16,42	-7,25442E-06
16,43	-7,22357E-06
16,44	-7,19288E-06
16,45	-7,16233E-06
16,46	-7,13193E-06
16,47	-7,10168E-06
16,48	-7,07158E-06
16,49	-7,04162E-06
16,5	-7,0118E-06
16,51	-6,98214E-06
16,52	-6,95261E-06
16,53	-6,92323E-06
16,54	-6,89398E-06
16,55	-6,86488E-06
16,56	-6,83592E-06
16,57	-6,8071E-06
16,58	-6,77842E-06
16,59	-6,74988E-06
16,6	-6,72147E-06
16,61	-6,6932E-06
16,62	-6,66507E-06
16,63	-6,63707E-06
16,64	-6,6092E-06
16,65	-6,58147E-06
16,66	-6,55387E-06
16,67	-6,52641E-06
16,68	-6,49907E-06
16,69	-6,47187E-06
16,7	-6,4448E-06
16,71	-6,41785E-06
16,72	-6,39104E-06
16,73	-6,36435E-06
16,74	-6,33779E-06
16,75	-6,31135E-06
16,76	-6,28505E-06
16,77	-6,25886E-06
16,78	-6,2328E-06
16,79	-6,20687E-06
16,8	-6,18106E-06
16,81	-6,15537E-06
16,82	-6,1298E-06
16,83	-6,10436E-06
16,84	-6,07903E-06
16,85	-6,05383E-06
16,86	-6,02874E-06
16,87	-6,00378E-06
16,88	-5,97893E-06
16,89	-5,9542E-06
16,9	-5,92958E-06
16,91	-5,90509E-06
16,92	-5,8807E-06
16,93	-5,85644E-06
16,94	-5,83228E-06
16,95	-5,80824E-06
16,96	-5,78432E-06
16,97	-5,7605E-06
16,98	-5,7368E-06
16,99	-5,71321E-06
17	-5,68973E-06
17,01	-5,66636E-06
17,02	-5,6431E-06
17,03	-5,61995E-06
17,04	-5,59691E-06
17,05	-5,57398E-06
17,06	-5,55115E-06
17,07	-5,52843E-06
17,08	-5,50582E-06
17,09	-5,48331E-06
17,1	-5,46091E-06
17,11	-5,43861E-06
17,12	-5,41641E-06
17,13	-5,39432E-06
17,14	-5,37233E-06
17,15	-5,35045E-06
17,16	-5,32866E-06
17,17	-5,30698E-06
17,18	-5,2854E-06
17,19	-5,26392E-06
17,2	-5,24253E-06
17,21	-5,22125E-06
17,22	-5,20007E-06
17,23	-5,17898E-06
17,24	-5,15799E-06
17,25	-5,1371E-06
17,26	-5,11631E-06
17,27	-5,09561E-06
17,28	-5,07501E-06
17,29	-5,0545E-06
17,3	-5,03409E-06
17,31	-5,01377E-06
17,32	-4,99354E-06
17,33	-4,97341E-06
17,34	-4,95337E-06
17,35	-4,93342E-06
17,36	-4,91357E-06
17,37	-4,8938E-06
17,38	-4,87413E-06
17,39	-4,85455E-06
17,4	-4,83506E-06
17,41	-4,81565E-06
17,42	-4,79634E-06
17,43	-4,77711E-06
17,44	-4,75797E-06
17,45	-4,73892E-06
17,46	-4,71996E-06
17,47	-4,70108E-06
17,48	-4,68229E-06
17,49	-4,66359E-06
17,5	-4,64497E-06
17,51	-4,62643E-06
17,52	-4,60798E-06
17,53	-4,58962E-06
17,54	-4,57133E-06
17,55	-4,55313E-06
17,56	-4,53502E-06
17,57	-4,51698E-06
17,58	-4,49903E-06
17,59	-4,48116E-06
17,6	-4,46337E-06
17,61	-4,44566E-06
17,62	-4,42803E-06
17,63	-4,41048E-06
17,64	-4,39301E-06
17,65	-4,37562E-06
17,66	-4,35831E-06
17,67	-4,34108E-06
17,68	-4,32392E-06
17,69	-4,30684E-06
17,7	-4,28984E-06
17,71	-4,27292E-06
17,72	-4,25607E-06
17,73	-4,2393E-06
17,74	-4,2226E-06
17,75	-4,20598E-06
17,76	-4,18943E-06
17,77	-4,17296E-06
17,78	-4,15656E-06
17,79	-4,14023E-06
17,8	-4,12398E-06
17,81	-4,1078E-06
17,82	-4,0917E-06
17,83	-4,07566E-06
17,84	-4,0597E-06
17,85	-4,04381E-06
17,86	-4,02799E-06
17,87	-4,01224E-06
17,88	-3,99656E-06
17,89	-3,98095E-06
17,9	-3,96541E-06
17,91	-3,94994E-06
17,92	-3,93454E-06
17,93	-3,9192E-06
17,94	-3,90394E-06
17,95	-3,88874E-06
17,96	-3,87361E-06
17,97	-3,85855E-06
17,98	-3,84356E-06
17,99	-3,82863E-06
18	-3,81377E-06
18,01	-3,79897E-06
18,02	-3,78424E-06
18,03	-3,76957E-06
18,04	-3,75497E-06
18,05	-3,74044E-06
18,06	-3,72596E-06
18,07	-3,71156E-06
18,08	-3,69721E-06
18,09	-3,68293E-06
18,1	-3,66871E-06
18,11	-3,65456E-06
18,12	-3,64047E-06
18,13	-3,62644E-06
18,14	-3,61247E-06
18,15	-3,59856E-06
18,16	-3,58471E-06
18,17	-3,57093E-06
18,18	-3,5572E-06
18,19	-3,54354E-06
18,2	-3,52993E-06
18,21	-3,51639E-06
18,22	-3,5029E-06
18,23	-3,48948E-06
18,24	-3,47611E-06
18,25	-3,4628E-06
18,26	-3,44955E-06
18,27	-3,43635E-06
18,28	-3,42322E-06
18,29	-3,41014E-06
18,3	-3,39712E-06
18,31	-3,38415E-06
18,32	-3,37125E-06
18,33	-3,35839E-06
18,34	-3,3456E-06
18,35	-3,33286E-06
18,36	-3,32017E-06
18,37	-3,30755E-06
18,38	-3,29497E-06
18,39	-3,28245E-06
18,4	-3,26998E-06
18,41	-3,25757E-06
18,42	-3,24522E-06
18,43	-3,23291E-06
18,44	-3,22066E-06
18,45	-3,20846E-06
18,46	-3,19632E-06
18,47	-3,18422E-06
18,48	-3,17218E-06
18,49	-3,1602E-06
18,5	-3,14826E-06
18,51	-3,13637E-06
18,52	-3,12454E-06
18,53	-3,11276E-06
18,54	-3,10103E-06
18,55	-3,08934E-06
18,56	-3,07771E-06
18,57	-3,06613E-06
18,58	-3,0546E-06
18,59	-3,04312E-06
18,6	-3,03168E-06
18,61	-3,0203E-06
18,62	-3,00897E-06
18,63	-2,99768E-06
18,64	-2,98644E-06
18,65	-2,97525E-06
18,66	-2,96411E-06
18,67	-2,95302E-06
18,68	-2,94197E-06
18,69	-2,93097E-06
18,7	-2,92002E-06
18,71	-2,90911E-06
18,72	-2,89825E-06
18,73	-2,88744E-06
18,74	-2,87667E-06
18,75	-2,86595E-06
