h,k,l,d,2theta,F/phi
0,0,2,1.76,49.60820061708057,4
0,2,2,1.2445079348883237,72.78118125962466,4
1,1,1,2.032272947547483,42.60752582195551,4
1,1,3,1.061319932913728,88.1645041280203,4
